y__abs_energy,y__quantile__q_0.9,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__sum_values,y__minimum,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__median,y__range_count__max_1__min_-1,y
27.6676,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,2.040246502869422,1.020123251434711,3.2259129686303174,1.4426721374711071,5.26,0.0,5.13
26.3169,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,1.9898221596426109,0.9949110798213056,3.1461850815729133,1.4070167424385511,5.13,0.0,5.28
27.878400000000006,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,2.048004094135085,1.0240020470675426,3.23817879740838,1.4481575828607314,5.28,0.0,4.77
22.7529,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.8501855168606736,0.9250927584303368,2.9254001635677973,1.3082787254253196,4.77,0.0,4.75
22.5625,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,1.8424279255950105,0.9212139627975052,2.9131343347897354,1.3027932800356956,4.75,0.0,5.07
25.7049,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,1.9665493858456216,0.9832746929228108,3.1093875952387284,1.3905604062696797,5.07,0.0,5.05
25.5025,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,1.9587917945799584,0.9793958972899792,3.097121766460666,1.3850749608800554,5.05,0.0,4.4
19.360000000000007,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,1.7066700784459046,0.8533350392229523,2.69848233117365,1.206797985717276,4.4,0.0,3.69
13.6161,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,1.4312755885148607,0.7156377942574303,2.263045409552447,1.0120646743856243,3.69,0.0,4.1
16.81,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,1.590306209460956,0.7951531047304781,2.5144948995027194,1.124516304872916,4.1,0.0,4.23
17.892900000000004,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,1.6407305526877674,0.8203652763438837,2.5942227865601226,1.1601716999054723,4.23,0.0,4.92
24.2064,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,1.908367451353148,0.9541837256765738,3.0173938794032633,1.3494195658474994,4.92,0.0,4.51
20.3401,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,1.7493368304070518,0.8746684152035259,2.765944389452991,1.236967935360208,4.51,0.0,3.68
