y__abs_energy,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__minimum,y__median,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__quantile__q_0.9,y__sum_values,y
6475.066836839998,80.4678,80.4678,80.4678,80.4678,80.4678,80.4678,80.4678,80.4678,80.4678,80.4678,80.4678,80.4678,80.4678,31.211815122356672,15.605907561178336,49.35021284736705,22.070086126159236,80.4678,80.4678,76.464
5846.743296,76.464,76.464,76.464,76.464,76.464,76.464,76.464,76.464,76.464,76.464,76.464,76.464,76.464,29.65882292688355,14.829411463441774,46.89471658428681,20.971954813610406,76.464,76.464,77.4211
5994.026725209998,77.4211,77.4211,77.4211,77.4211,77.4211,77.4211,77.4211,77.4211,77.4211,77.4211,77.4211,77.4211,77.4211,30.030062456901867,15.015031228450933,47.481697820460965,21.234460802730858,77.4211,77.4211,76.7081
5884.1326056100015,76.7081,76.7081,76.7081,76.7081,76.7081,76.7081,76.7081,76.7081,76.7081,76.7081,76.7081,76.7081,76.7081,29.753504328280968,14.876752164140484,47.04442102452306,21.038904674590768,76.7081,76.7081,78.1769
6111.62769361,78.1769,78.1769,78.1769,78.1769,78.1769,78.1769,78.1769,78.1769,78.1769,78.1769,78.1769,78.1769,78.1769,30.32322183083128,15.16161091541564,47.94522348998393,21.441755784004755,78.1769,78.1769,72.4653
5251.21970409,72.4653,72.4653,72.4653,72.4653,72.4653,72.4653,72.4653,72.4653,72.4653,72.4653,72.4653,72.4653,72.4653,28.10780891718318,14.05390445859159,44.442348107544966,19.875222289635932,72.4653,72.4653,75.9054
5761.62974916,75.9054,75.9054,75.9054,75.9054,75.9054,75.9054,75.9054,75.9054,75.9054,75.9054,75.9054,75.9054,75.9054,29.442153402833576,14.721076701416788,46.55213198651553,20.818746323878212,75.9054,75.9054,82.73200000000001
6844.583823999999,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,82.73200000000001,32.0900520295424,16.0450260147712,50.73882732333146,22.691093398718568,82.73200000000001,82.73200000000001,105.0435
11034.13689225,105.0435,105.0435,105.0435,105.0435,105.0435,105.0435,105.0435,105.0435,105.0435,105.0435,105.0435,105.0435,105.0435,40.744226905734635,20.372113452867318,64.42227926241802,28.810519139248328,105.0435,105.0435,111.6915
12474.991172250002,111.6915,111.6915,111.6915,111.6915,111.6915,111.6915,111.6915,111.6915,111.6915,111.6915,111.6915,111.6915,111.6915,43.322850242441085,21.661425121220542,68.49944074824585,30.633881186759353,111.6915,111.6915,114.0821
13014.72554041,114.0821,114.0821,114.0821,114.0821,114.0821,114.0821,114.0821,114.0821,114.0821,114.0821,114.0821,114.0821,114.0821,44.2501151264258,22.1250575632129,69.9655752620876,31.289556474181104,114.0821,114.0821,98.6382
9729.49449924,98.6382,98.6382,98.6382,98.6382,98.6382,98.6382,98.6382,98.6382,98.6382,98.6382,98.6382,98.6382,98.6382,38.259741939037,19.1298709695185,60.49396360881197,27.05372297154041,98.6382,98.6382,84.7727
7186.41066529,84.7727,84.7727,84.7727,84.7727,84.7727,84.7727,84.7727,84.7727,84.7727,84.7727,84.7727,84.7727,84.7727,32.881597854334345,16.440798927167172,51.990371162701024,23.25080081904885,84.7727,84.7727,81.0653
6571.582864089999,81.0653,81.0653,81.0653,81.0653,81.0653,81.0653,81.0653,81.0653,81.0653,81.0653,81.0653,81.0653,81.0653,31.44357316141836,15.721786580709178,49.71665448211164,22.23396380717425,81.0653,81.0653,77.1607
5953.773624490002,77.1607,77.1607,77.1607,77.1607,77.1607,77.1607,77.1607,77.1607,77.1607,77.1607,77.1607,77.1607,77.1607,29.92905861862293,14.964529309311464,47.3219967297706,21.16304030375796,77.1607,77.1607,78.378
6143.110884000001,78.378,78.378,78.378,78.378,78.378,78.378,78.378,78.378,78.378,78.378,78.378,78.378,78.378,30.40122441100752,15.20061220550376,48.06855639834735,21.496911937397424,78.378,78.378,81.0958
6576.528777639999,81.0958,81.0958,81.0958,81.0958,81.0958,81.0958,81.0958,81.0958,81.0958,81.0958,81.0958,81.0958,81.0958,31.455403488098487,15.727701744049249,49.7353598709982,22.242329111393428,81.0958,81.0958,74.7939
5594.127477209999,74.7939,74.7939,74.7939,74.7939,74.7939,74.7939,74.7939,74.7939,74.7939,74.7939,74.7939,74.7939,74.7939,29.011025268244342,14.505512634122171,45.87045855217473,20.513892696349856,74.7939,74.7939,77.1113
5946.15258769,77.1113,77.1113,77.1113,77.1113,77.1113,77.1113,77.1113,77.1113,77.1113,77.1113,77.1113,77.1113,77.1113,29.90989736819674,14.95494868409837,47.29170013268879,21.14949125364559,77.1113,77.1113,80.8078
6529.90054084,80.8078,80.8078,80.8078,80.8078,80.8078,80.8078,80.8078,80.8078,80.8078,80.8078,80.8078,80.8078,80.8078,31.343694173872947,15.671847086936474,49.55873193659411,22.16333869778284,80.8078,80.8078,101.09700000000001
10220.603409000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,101.09700000000001,39.21346020923763,19.606730104618816,62.00192459878693,27.728103627740783,101.09700000000001,101.09700000000001,106.7263
11390.50311169,106.7263,106.7263,106.7263,106.7263,106.7263,106.7263,106.7263,106.7263,106.7263,106.7263,106.7263,106.7263,106.7263,41.39695063482753,20.698475317413767,65.45432609580416,29.272064514331298,106.7263,106.7263,105.62200000000001
11156.006884,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,105.62200000000001,40.96861523309394,20.48430761654697,64.77706835982346,28.96918564714321,105.62200000000001,105.62200000000001,86.9268
7556.26855824,86.9268,86.9268,86.9268,86.9268,86.9268,86.9268,86.9268,86.9268,86.9268,86.9268,86.9268,86.9268,86.9268,33.717129221602605,16.858564610801302,53.31146225124218,23.841610714738298,86.9268,86.9268,84.4365
7129.522532249999,84.4365,84.4365,84.4365,84.4365,84.4365,84.4365,84.4365,84.4365,84.4365,84.4365,84.4365,84.4365,84.4365,32.751192745158555,16.375596372579277,51.78418258094179,23.15859048204927,84.4365,84.4365,74.4834
5547.776875560001,74.4834,74.4834,74.4834,74.4834,74.4834,74.4834,74.4834,74.4834,74.4834,74.4834,74.4834,74.4834,74.4834,28.89058866384493,14.445294331922465,45.68003156039533,20.428731156675944,74.4834,74.4834,65.561
4298.244721000001,65.561,65.561,65.561,65.561,65.561,65.561,65.561,65.561,65.561,65.561,65.561,65.561,65.561,25.429772048407262,12.714886024203631,40.20800002592629,17.981564259456896,65.561,65.561,74.3631
